ProductKey,ProductAlternateKey,ProductSubCategoryKey,ProductSubCategory,ProductCategoryKey,ProductCategory,Product,SafetyStockLevel,ReorderPoint,DaysToManufacture,Description,StartDate,EndDate,Status
164,MS-2259,NULL,NULL,NULL,NULL,Metal Sheet 4,1000,750,0,NULL,2003-07-01 00:00:00.000,NULL,Current
165,MS-2341,NULL,NULL,NULL,NULL,Metal Sheet 5,1000,750,0,NULL,2003-07-01 00:00:00.000,NULL,Current
166,MS-2348,NULL,NULL,NULL,NULL,Metal Sheet 6,1000,750,0,NULL,2003-07-01 00:00:00.000,NULL,Current
167,MS-6061,NULL,NULL,NULL,NULL,Metal Sheet 1,1000,750,0,NULL,2003-07-01 00:00:00.000,NULL,Current
168,MT-1000,NULL,NULL,NULL,NULL,Metal Tread Plate,1000,750,0,NULL,2003-07-01 00:00:00.000,NULL,Current
169,NI-4127,NULL,NULL,NULL,NULL,LL Nipple,1000,750,0,NULL,2003-07-01 00:00:00.000,NULL,Current
170,NI-9522,NULL,NULL,NULL,NULL,HL Nipple,1000,750,0,NULL,2003-07-01 00:00:00.000,NULL,Current
171,PA-187B,NULL,NULL,NULL,NULL,Paint - Black,60,45,0,NULL,2003-07-01 00:00:00.000,NULL,Current
172,PA-361R,NULL,NULL,NULL,NULL,Paint - Red,60,45,0,NULL,2003-07-01 00:00:00.000,NULL,Current
173,PA-529S,NULL,NULL,NULL,NULL,Paint - Silver,60,45,0,NULL,2003-07-01 00:00:00.000,NULL,Current
174,PA-632U,NULL,NULL,NULL,NULL,Paint - Blue,60,45,0,NULL,2003-07-01 00:00:00.000,NULL,Current
175,PA-823Y,NULL,NULL,NULL,NULL,Paint - Yellow,60,45,0,NULL,2003-07-01 00:00:00.000,NULL,Current
176,PB-6109,NULL,NULL,NULL,NULL,Pinch Bolt,1000,750,0,NULL,2003-07-01 00:00:00.000,NULL,Current
177,RA-2345,NULL,NULL,NULL,NULL,Cup-Shaped Race,1000,750,0,NULL,2003-07-01 00:00:00.000,NULL,Current
178,RA-7490,NULL,NULL,NULL,NULL,Cone-Shaped Race,1000,750,0,NULL,2003-07-01 00:00:00.000,NULL,Current
179,RF-9198,NULL,NULL,NULL,NULL,Reflector,1000,750,0,NULL,2003-07-01 00:00:00.000,NULL,Current
180,RM-M464,NULL,NULL,NULL,NULL,LL Mountain Rim,800,600,0,NULL,2003-07-01 00:00:00.000,NULL,Current
181,RM-M692,NULL,NULL,NULL,NULL,ML Mountain Rim,800,600,0,NULL,2003-07-01 00:00:00.000,NULL,Current
182,RM-M823,NULL,NULL,NULL,NULL,HL Mountain Rim,800,600,0,NULL,2003-07-01 00:00:00.000,NULL,Current
183,RM-R436,NULL,NULL,NULL,NULL,LL Road Rim,800,600,0,NULL,2003-07-01 00:00:00.000,NULL,Current
184,RM-R600,NULL,NULL,NULL,NULL,ML Road Rim,800,600,0,NULL,2003-07-01 00:00:00.000,NULL,Current
185,RM-R800,NULL,NULL,NULL,NULL,HL Road Rim,800,600,0,NULL,2003-07-01 00:00:00.000,NULL,Current
186,RM-T801,NULL,NULL,NULL,NULL,Touring Rim,800,600,0,NULL,2003-07-01 00:00:00.000,NULL,Current
187,SA-M198,NULL,NULL,NULL,NULL,LL Mountain Seat Assembly,500,375,1,NULL,2003-07-01 00:00:00.000,NULL,Current
188,SA-M237,NULL,NULL,NULL,NULL,ML Mountain Seat Assembly,500,375,1,NULL,2003-07-01 00:00:00.000,NULL,Current
189,SA-M687,NULL,NULL,NULL,NULL,HL Mountain Seat Assembly,500,375,1,NULL,2003-07-01 00:00:00.000,NULL,Current
190,SA-R127,NULL,NULL,NULL,NULL,LL Road Seat Assembly,500,375,1,NULL,2003-07-01 00:00:00.000,NULL,Current
191,SA-R430,NULL,NULL,NULL,NULL,ML Road Seat Assembly,500,375,1,NULL,2003-07-01 00:00:00.000,NULL,Current
192,SA-R522,NULL,NULL,NULL,NULL,HL Road Seat Assembly,500,375,1,NULL,2003-07-01 00:00:00.000,NULL,Current
193,SA-T467,NULL,NULL,NULL,NULL,LL Touring Seat Assembly,500,375,1,NULL,2003-07-01 00:00:00.000,NULL,Current
194,SA-T612,NULL,NULL,NULL,NULL,ML Touring Seat Assembly,500,375,1,NULL,2003-07-01 00:00:00.000,NULL,Current
195,SA-T872,NULL,NULL,NULL,NULL,HL Touring Seat Assembly,500,375,1,NULL,2003-07-01 00:00:00.000,NULL,Current
196,SD-2342,NULL,NULL,NULL,NULL,LL Spindle/Axle,500,375,0,NULL,2003-07-01 00:00:00.000,NULL,Current
197,SD-9872,NULL,NULL,NULL,NULL,HL Spindle/Axle,500,375,0,NULL,2003-07-01 00:00:00.000,NULL,Current
198,SH-4562,NULL,NULL,NULL,NULL,LL Shell,800,600,0,NULL,2003-07-01 00:00:00.000,NULL,Current
199,SH-9312,NULL,NULL,NULL,NULL,HL Shell,800,600,0,NULL,2003-07-01 00:00:00.000,NULL,Current
200,SK-9283,NULL,NULL,NULL,NULL,Spokes,1000,750,0,NULL,2003-07-01 00:00:00.000,NULL,Current
201,SL-0931,NULL,NULL,NULL,NULL,Seat Lug,1000,750,0,NULL,2003-07-01 00:00:00.000,NULL,Current
202,SM-9087,NULL,NULL,NULL,NULL,Stem,500,375,1,NULL,2003-07-01 00:00:00.000,NULL,Current
203,SP-2981,NULL,NULL,NULL,NULL,Seat Post,500,375,0,NULL,2003-07-01 00:00:00.000,NULL,Current
204,SR-2098,NULL,NULL,NULL,NULL,Steerer,500,375,1,NULL,2003-07-01 00:00:00.000,NULL,Current
205,SS-2985,NULL,NULL,NULL,NULL,Seat Stays,800,600,1,NULL,2003-07-01 00:00:00.000,NULL,Current
